GEOPOINT,GEOID,NAME,NAMELSAD,STUSAB
28.8935249788; -98.5271322703,48013,Atascosa,Atascosa County,TX
33.8349402867; -83.437054781,13219,Oconee,Oconee County,GA
30.4441430277; -83.4701228264,12079,Madison,Madison County,FL
40.872385845; -97.1395097335,31159,Seward,Seward County,NE
40.5795915499; -81.0897165993,39019,Carroll,Carroll County,OH
30.8219752667; -90.7103202756,22091,St. Helena,St. Helena Parish,LA
44.0688768938; -88.6446587541,55139,Winnebago,Winnebago County,WI
47.2663787156; -104.89951088,30021,Dawson,Dawson County,MT
35.3955080611; -109.488828707,4001,Apache,Apache County,AZ
30.9387779365; -84.8688701106,13253,Seminole,Seminole County,GA
30.3180548031; -98.9464800144,48171,Gillespie,Gillespie County,TX
38.2737274749; -77.1564526995,51099,King George,King George County,VA
40.3672314599; -76.4577127611,42075,Lebanon,Lebanon County,PA
37.4320425654; -93.8502883553,29057,Dade,Dade County,MO
39.0822408645; -82.0229005014,39105,Meigs,Meigs County,OH
34.482314169; -97.0679060587,40099,Murray,Murray County,OK
39.0959545402; -75.5046137018,10001,Kent,Kent County,DE
46.0816740437; -114.120758882,30081,Ravalli,Ravalli County,MT
39.7836260546; -96.5229367542,20117,Marshall,Marshall County,KS
48.3653542741; -106.667442369,30105,Valley,Valley County,MT
38.9086479451; -78.2084593587,51187,Warren,Warren County,VA
39.6400558465; -85.1787249608,18041,Fayette,Fayette County,IN
40.8730327985; -98.0228653105,31081,Hamilton,Hamilton County,NE
33.0138972496; -83.9186821405,13207,Monroe,Monroe County,GA
35.9966113202; -88.9326248037,47053,Gibson,Gibson County,TN
37.1865096844; -77.2241521943,51149,Prince George,Prince George County,VA
47.7176029342; -98.9016466849,38027,Eddy,Eddy County,ND
47.0376054401; -122.13722281,53053,Pierce,Pierce County,WA
36.7483050997; -102.517723689,40025,Cimarron,Cimarron County,OK
41.397302247; -97.9922509137,31125,Nance,Nance County,NE
39.5984047698; -122.392206808,6021,Glenn,Glenn County,CA
43.5179689655; -71.4226936063,33001,Belknap,Belknap County,NH
37.9370590546; -76.7296872797,51159,Richmond,Richmond County,VA
33.7353045888; -93.6684431539,5057,Hempstead,Hempstead County,AR
43.6741782318; -96.7914365084,46099,Minnehaha,Minnehaha County,SD
43.9878918655; -84.8478607548,26035,Clare,Clare County,MI
41.1392969335; -74.6908006832,34037,Sussex,Sussex County,NJ
43.1073811968; -73.8639045541,36091,Saratoga,Saratoga County,NY
40.2982423213; -110.42518446,49013,Duchesne,Duchesne County,UT
48.2689430235; -98.7201050468,38071,Ramsey,Ramsey County,ND
35.388366704; -85.7225823933,47061,Grundy,Grundy County,TN
37.2666155974; -82.0360146573,51027,Buchanan,Buchanan County,VA
32.3020349252; -92.5577401117,22049,Jackson,Jackson Parish,LA
46.1101251059; -98.504704356,38021,Dickey,Dickey County,ND
40.4308475737; -95.4280934716,29005,Atchison,Atchison County,MO
34.5302641047; -101.208593305,48045,Briscoe,Briscoe County,TX
35.1744060361; -98.3751581878,40015,Caddo,Caddo County,OK
43.661121629; -74.4973551336,36041,Hamilton,Hamilton County,NY
38.6469784457; -94.3548163135,29037,Cass,Cass County,MO
37.5722077541; -78.5287073251,51029,Buckingham,Buckingham County,VA
36.3411216216; -76.1609504039,37029,Camden,Camden County,NC
40.0924597674; -105.35770567,8013,Boulder,Boulder County,CO
29.9121811706; -81.4098866827,12109,St. Johns,St. Johns County,FL
40.1139269766; -93.5653381974,29079,Grundy,Grundy County,MO
35.5832218368; -89.2838357978,47075,Haywood,Haywood County,TN
46.7140170601; -85.564118869,26095,Luce,Luce County,MI
43.3612746976; -72.2222293649,33019,Sullivan,Sullivan County,NH
33.2704260085; -83.0006868923,13141,Hancock,Hancock County,GA
40.5218545215; -80.5738922207,54029,Hancock,Hancock County,WV
18.3762890029; -67.1867288243,72003,Aguada,Aguada Municipio,PR
38.941491042; -91.4702087982,29139,Montgomery,Montgomery County,MO
30.010805099; -95.9876533263,48473,Waller,Waller County,TX
34.9473737476; -92.9314699116,5105,Perry,Perry County,AR
14.946529427; 145.604845482,69120,Tinian,Tinian Municipality,MP
39.4802974375; -97.6492819059,20029,Cloud,Cloud County,KS
40.1746293382; -88.9040887049,17039,De Witt,De Witt County,IL
39.3170652967; -78.614168492,54027,Hampshire,Hampshire County,WV
33.1738126593; -102.335196551,48445,Terry,Terry County,TX
34.5192808123; -82.6377509574,45007,Anderson,Anderson County,SC
30.8626068236; -88.6440346093,28039,George,George County,MS
42.3658182043; -90.2125952059,17085,Jo Daviess,Jo Daviess County,IL
28.7963514929; -96.971525279,48469,Victoria,Victoria County,TX
40.1576395642; -85.011310408,18135,Randolph,Randolph County,IN
37.6804065048; -93.0236553896,29059,Dallas,Dallas County,MO
38.6488155619; -84.6246133807,21081,Grant,Grant County,KY
30.9224883015; -81.6363849358,13039,Camden,Camden County,GA
46.932964277; -97.2480210132,38017,Cass,Cass County,ND
43.6776345435; -103.451555966,46033,Custer,Custer County,SD
48.2013321625; -102.355667862,38061,Mountrail,Mountrail County,ND
60.8490903436; -160.195267975,2050,Bethel,Bethel Census Area,AK
40.4791367057; -94.4221022302,29227,Worth,Worth County,MO
42.9622404458; -106.798493803,56025,Natrona,Natrona County,WY
43.3564123717; -92.7890314515,19131,Mitchell,Mitchell County,IA
31.6661684568; -91.8470716058,22025,Catahoula,Catahoula Parish,LA
44.9432516761; -113.933251642,16059,Lemhi,Lemhi County,ID
31.8692373987; -90.448798677,28029,Copiah,Copiah County,MS
58.7332560682; -156.981015248,2060,Bristol Bay,Bristol Bay Borough,AK
38.3366204607; -112.127186525,49031,Piute,Piute County,UT
38.318172839; -83.0495338272,21043,Carter,Carter County,KY
43.0217229031; -83.7067110419,26049,Genesee,Genesee County,MI
29.9007722759; -91.0625868595,22007,Assumption,Assumption Parish,LA
34.5387970384; -93.6595529416,5097,Montgomery,Montgomery County,AR
31.8072288628; -81.4562556854,13179,Liberty,Liberty County,GA
34.3728526138; -98.924242239,40141,Tillman,Tillman County,OK
40.2275253191; -85.3968993017,18035,Delaware,Delaware County,IN
18.2664113682; -65.9792691875,72063,Gurabo,Gurabo Municipio,PR
37.0540793189; -88.71271926,21145,McCracken,McCracken County,KY
30.8533433125; -90.0405268831,22117,Washington,Washington Parish,LA
40.183401621; -87.732815214,17183,Vermilion,Vermilion County,IL
31.5640129586; -93.5546968685,22085,Sabine,Sabine Parish,LA
30.792719766; -94.8300248619,48373,Polk,Polk County,TX
42.633442368; -77.1054588564,36123,Yates,Yates County,NY
47.4909231926; -121.83595173,53033,King,King County,WA
43.9150098006; -121.228141798,41017,Deschutes,Deschutes County,OR
42.170297478; -76.306316775,36107,Tioga,Tioga County,NY
43.2789221432; -96.721824276,46083,Lincoln,Lincoln County,SD
38.0140589617; -87.0077059131,18147,Spencer,Spencer County,IN
31.3231861567; -103.693167266,48389,Reeves,Reeves County,TX
30.6650297247; -86.5921750794,12091,Okaloosa,Okaloosa County,FL
36.0132038869; -82.1635815487,37121,Mitchell,Mitchell County,NC
34.1110028943; -97.8357913307,40067,Jefferson,Jefferson County,OK
35.2562753346; -91.7455472673,5145,White,White County,AR
43.3109397092; -85.15248111,26117,Montcalm,Montcalm County,MI
26.0992389901; -81.3809730552,12021,Collier,Collier County,FL
44.464696712; -72.1022211883,50005,Caledonia,Caledonia County,VT
33.1879272437; -96.57240407,48085,Collin,Collin County,TX
27.1824778115; -82.3649735213,12115,Sarasota,Sarasota County,FL
45.4729404291; -84.492064415,26031,Cheboygan,Cheboygan County,MI
39.0888346851; -87.4146903866,18153,Sullivan,Sullivan County,IN
37.1430626393; -78.051263729,51135,Nottoway,Nottoway County,VA
33.7792058021; -88.0968988585,1075,Lamar,Lamar County,AL
36.941272036; -90.9623104086,29035,Carter,Carter County,MO
30.1264602387; -90.4708835924,22095,St. John the Baptist,St. John the Baptist Parish,LA
42.596069775; -84.8383148406,26045,Eaton,Eaton County,MI
59.8632076093; -140.381018617,2282,Yakutat,Yakutat City and Borough,AK
40.1764957551; -99.4046440743,31083,Harlan,Harlan County,NE
39.9607450135; -93.9854672168,29061,Daviess,Daviess County,MO
39.8940298185; -83.4001988278,39097,Madison,Madison County,OH
44.4609805861; -73.0809205876,50007,Chittenden,Chittenden County,VT
20.867735408; -156.617058801,15009,Maui,Maui County,HI
38.2368379381; -95.7341117812,20031,Coffey,Coffey County,KS
36.7961439421; -97.7861241175,40053,Grant,Grant County,OK
31.2253196926; -84.1943088346,13205,Mitchell,Mitchell County,GA
37.4002848554; -79.190856302,51680,Lynchburg,Lynchburg city,VA
29.8119497744; -103.251755856,48043,Brewster,Brewster County,TX
18.2370904175; -66.9834149992,72083,Las Marías,Las Marías Municipio,PR
31.445835936; -91.6400549956,22029,Concordia,Concordia Parish,LA
31.704803053; -98.110725849,48193,Hamilton,Hamilton County,TX
38.2142048256; -95.2933285252,20003,Anderson,Anderson County,KS
32.2667019192; -90.4428211702,28049,Hinds,Hinds County,MS
40.0969217077; -80.619057007,54069,Ohio,Ohio County,WV
39.5604331495; -78.2577317099,54065,Morgan,Morgan County,WV
43.29699417; -71.0288020158,33017,Strafford,Strafford County,NH
35.8376872526; -101.89292281,48341,Moore,Moore County,TX
38.981944957; -109.569833712,49019,Grand,Grand County,UT
35.5740321244; -90.6629400421,5111,Poinsett,Poinsett County,AR
30.3346942825; -97.7819489614,48453,Travis,Travis County,TX
40.6822625859; -80.3492877814,42007,Beaver,Beaver County,PA
35.8839481951; -94.658747151,40001,Adair,Adair County,OK
42.2638016191; -110.655947277,56023,Lincoln,Lincoln County,WY
30.2292239003; -93.3579451616,22019,Calcasieu,Calcasieu Parish,LA
46.4965611851; -108.39808813,30065,Musselshell,Musselshell County,MT
44.022011363; -96.6709220275,46101,Moody,Moody County,SD
39.6052632661; -80.6390976036,54103,Wetzel,Wetzel County,WV
35.4426448889; -84.2528004804,47123,Monroe,Monroe County,TN
37.9991525438; -101.791256465,20075,Hamilton,Hamilton County,KS
32.6384656558; -87.2944007854,1105,Perry,Perry County,AL
31.1539910285; -83.4304650673,13075,Cook,Cook County,GA
35.7610127808; -89.6314442054,47097,Lauderdale,Lauderdale County,TN
41.2053450175; -90.7413938887,17131,Mercer,Mercer County,IL
29.5274926713; -95.7708885981,48157,Fort Bend,Fort Bend County,TX
44.5794783729; -94.2321420772,27143,Sibley,Sibley County,MN
32.8812700424; -84.2993435146,13293,Upson,Upson County,GA
39.8600027881; -88.9615519316,17115,Macon,Macon County,IL
18.336311374; -65.9991239839,72139,Trujillo Alto,Trujillo Alto Municipio,PR
35.6394734632; -80.5247717485,37159,Rowan,Rowan County,NC
38.4202968763; -82.2417166787,54011,Cabell,Cabell County,WV
33.028186394; -116.770204664,6073,San Diego,San Diego County,CA
35.6786827093; -85.778498039,47177,Warren,Warren County,TN
42.4520186799; -76.4736541298,36109,Tompkins,Tompkins County,NY
41.590577647; -88.4287883539,17093,Kendall,Kendall County,IL
42.8625961548; -91.8443243326,19065,Fayette,Fayette County,IA
31.1720242681; -88.9923282776,28111,Perry,Perry County,MS
45.4299476083; -100.03155444,46129,Walworth,Walworth County,SD
31.4574378292; -83.5265943229,13277,Tift,Tift County,GA
57.1140130761; -133.002459292,2195,Petersburg,Petersburg Borough,AK
38.2145295036; -92.428407769,29131,Miller,Miller County,MO
39.6597402335; -94.8059357005,29021,Buchanan,Buchanan County,MO
45.5024730826; -92.9083421514,27025,Chisago,Chisago County,MN
36.6061367396; -104.646842539,35007,Colfax,Colfax County,NM
37.6846796381; -104.960584534,8055,Huerfano,Huerfano County,CO
38.4137041563; -78.2792244734,51113,Madison,Madison County,VA
38.8837685125; -94.8222610425,20091,Johnson,Johnson County,KS
43.9868496601; -91.779129433,27169,Winona,Winona County,MN
37.1596975589; -83.714662683,21051,Clay,Clay County,KY
38.4226080428; -76.0833253109,24019,Dorchester,Dorchester County,MD
48.2345728769; -100.636289195,38049,McHenry,McHenry County,ND
34.4835677354; -82.0059340359,45059,Laurens,Laurens County,SC
36.7669321614; -98.8651275082,40151,Woods,Woods County,OK
45.9024044497; -112.656713468,30093,Silver Bow,Silver Bow County,MT
34.7441185158; -99.8462501441,40057,Harmon,Harmon County,OK
33.3534616689; -84.7633607428,13077,Coweta,Coweta County,GA
41.1514811895; -73.7533906824,36119,Westchester,Westchester County,NY
38.6064621876; -89.4224823889,17027,Clinton,Clinton County,IL
42.9311219743; -82.6643677239,26147,St. Clair,St. Clair County,MI
44.6057305617; -72.6414291047,50015,Lamoille,Lamoille County,VT
37.2850993946; -111.887766252,49025,Kane,Kane County,UT
45.1231152442; -94.5273094656,27093,Meeker,Meeker County,MN
27.0816164392; -80.3984639525,12085,Martin,Martin County,FL
44.9985323069; -88.2205851408,55083,Oconto,Oconto County,WI
40.5148205338; -99.8307042877,31073,Gosper,Gosper County,NE
34.894336814; -82.3707710973,45045,Greenville,Greenville County,SC
41.5689031802; -101.695910708,31005,Arthur,Arthur County,NE
35.4025956291; -81.9198334642,37161,Rutherford,Rutherford County,NC
40.3926315712; -96.2650968936,31097,Johnson,Johnson County,NE
41.2851032069; -88.4184956524,17063,Grundy,Grundy County,IL
45.4005123213; -68.6494281289,23019,Penobscot,Penobscot County,ME
58.2787538674; -156.544796848,2164,Lake and Peninsula,Lake and Peninsula Borough,AK
44.0221214974; -95.7632758339,27101,Murray,Murray County,MN
35.4906159935; -86.0747626426,47031,Coffee,Coffee County,TN
38.083736798; -89.3670210808,17145,Perry,Perry County,IL
41.8077476122; -78.5690251336,42083,McKean,McKean County,PA
40.6664172232; -105.461144451,8069,Larimer,Larimer County,CO
17.9733883474; -66.1363432071,72057,Guayama,Guayama Municipio,PR
40.6655968327; -119.664306118,32031,Washoe,Washoe County,NV
39.0100394517; -88.1538411275,17079,Jasper,Jasper County,IL
18.271003009; -66.7024478398,72141,Utuado,Utuado Municipio,PR
35.154110294; -84.859602735,47011,Bradley,Bradley County,TN
30.1516119464; -94.8122103741,48291,Liberty,Liberty County,TX
31.7597819469; -83.2204589709,13017,Ben Hill,Ben Hill County,GA
38.9464767816; -84.3796958206,21037,Campbell,Campbell County,KY
29.3374418892; -90.8376399064,22109,Terrebonne,Terrebonne Parish,LA
35.0481998087; -81.620428677,45021,Cherokee,Cherokee County,SC
34.290293884; -99.7457167359,48197,Hardeman,Hardeman County,TX
35.929110866; -80.5444636482,37059,Davie,Davie County,NC
18.1111155053; -67.0384198311,72125,San Germán,San Germán Municipio,PR
41.3985995057; -85.4174667322,18113,Noble,Noble County,IN
39.3927278538; -87.1157584406,18021,Clay,Clay County,IN
44.3890320927; -99.9960503842,46065,Hughes,Hughes County,SD
26.5621530438; -98.7383995925,48427,Starr,Starr County,TX
31.8491922008; -103.579899078,48301,Loving,Loving County,TX
33.6769134328; -117.776142822,6059,Orange,Orange County,CA
32.7535170026; -89.5240158465,28079,Leake,Leake County,MS
42.7764677574; -94.2071830507,19091,Humboldt,Humboldt County,IA
39.6785303915; -87.7455648767,17045,Edgar,Edgar County,IL
40.661536856; -83.6594624603,39065,Hardin,Hardin County,OH
44.3373203725; -85.0946817376,26113,Missaukee,Missaukee County,MI
46.9401261862; -103.846565695,38033,Golden Valley,Golden Valley County,ND
33.6164757788; -100.255850072,48269,King,King County,TX
26.9280228765; -97.636461158,48261,Kenedy,Kenedy County,TX
29.5003322407; -90.402594527,22057,Lafourche,Lafourche Parish,LA
38.6130327476; -85.3375681071,21223,Trimble,Trimble County,KY
39.7843853292; -99.9034768772,20137,Norton,Norton County,KS
44.9380153707; -98.3461899802,46115,Spink,Spink County,SD
36.0697841981; -88.0682731679,47005,Benton,Benton County,TN
37.9781820266; -77.9628583492,51109,Louisa,Louisa County,VA
39.1609175598; -86.5231372076,18105,Monroe,Monroe County,IN
41.0293737922; -93.3277206567,19117,Lucas,Lucas County,IA
45.9337163348; -95.453523681,27041,Douglas,Douglas County,MN
41.5602875792; -84.5881378939,39171,Williams,Williams County,OH
34.8056115749; -84.9672206823,13313,Whitfield,Whitfield County,GA
33.2608769536; -84.2841507002,13255,Spalding,Spalding County,GA
42.7325458524; -93.2624729913,19069,Franklin,Franklin County,IA
41.499810931; -71.2809786997,44005,Newport,Newport County,RI
35.8384916737; -100.813444084,48393,Roberts,Roberts County,TX
42.7280755442; -77.7754915036,36051,Livingston,Livingston County,NY
40.422331371; -93.5685581671,29129,Mercer,Mercer County,MO
43.4666080487; -89.3337362349,55021,Columbia,Columbia County,WI
35.4012788062; -100.269647513,48483,Wheeler,Wheeler County,TX
44.734724982; -90.6120571133,55019,Clark,Clark County,WI
30.2905333588; -92.4119791169,22001,Acadia,Acadia Parish,LA
41.1259792495; -81.5321670204,39153,Summit,Summit County,OH
36.0412452465; -91.1070801351,5075,Lawrence,Lawrence County,AR
43.9246050918; -90.1137916425,55057,Juneau,Juneau County,WI
45.475142699; -91.1331318556,55107,Rusk,Rusk County,WI
43.0182145442; -88.3045082663,55133,Waukesha,Waukesha County,WI
39.769517371; -86.5099758786,18063,Hendricks,Hendricks County,IN
42.8181212402; -74.0585725636,36093,Schenectady,Schenectady County,NY
41.5740218741; -97.0864647524,31037,Colfax,Colfax County,NE
42.3868746602; -95.5134961566,19093,Ida,Ida County,IA
43.4266633846; -89.9482166667,55111,Sauk,Sauk County,WI
37.3133053; -76.7738000898,51095,James City,James City County,VA
30.6266523214; -90.4056805267,22105,Tangipahoa,Tangipahoa Parish,LA
44.1421798372; -120.35658095,41013,Crook,Crook County,OR
31.7768809864; -84.4369222013,13273,Terrell,Terrell County,GA
44.8235439383; -94.2724202106,27085,McLeod,McLeod County,MN
46.5777681751; -122.392638348,53041,Lewis,Lewis County,WA
38.9166611398; -101.763574005,20199,Wallace,Wallace County,KS
42.1810916537; -111.813201111,16041,Franklin,Franklin County,ID
32.8531388427; -87.9522309156,1063,Greene,Greene County,AL
43.0820642869; -94.6781370701,19147,Palo Alto,Palo Alto County,IA
44.0225894661; -92.8620540343,27039,Dodge,Dodge County,MN
43.6738441803; -93.3488158578,27047,Freeborn,Freeborn County,MN
41.7734492735; -70.2381374923,25001,Barnstable,Barnstable County,MA
39.0597819407; -88.5898533622,17049,Effingham,Effingham County,IL
41.3338851661; -84.0682304213,39069,Henry,Henry County,OH
47.3091802574; -101.831489242,38057,Mercer,Mercer County,ND
38.9906151273; -92.3096802497,29019,Boone,Boone County,MO
33.1768244406; -101.816123837,48305,Lynn,Lynn County,TX
34.5881997167; -96.2977785791,40029,Coal,Coal County,OK
41.1976566629; -103.714949912,31105,Kimball,Kimball County,NE
41.8954290221; -87.6461407931,17031,Cook,Cook County,IL
34.1538305575; -82.1259300134,45047,Greenwood,Greenwood County,SC
40.6735903894; -120.594332834,6035,Lassen,Lassen County,CA
40.1376743616; -83.7694969558,39021,Champaign,Champaign County,OH
29.9446888715; -98.7115552055,48259,Kendall,Kendall County,TX
46.2850391756; -100.238740757,38029,Emmons,Emmons County,ND
29.9047257308; -89.3041273649,22087,St. Bernard,St. Bernard Parish,LA
55.7271705274; -133.193025891,2198,Prince of Wales-Hyder,Prince of Wales-Hyder Census Area,AK
44.491500684; -119.007354057,41023,Grant,Grant County,OR
34.9125779857; -107.999724325,35006,Cibola,Cibola County,NM
46.9801017563; -99.7800913745,38043,Kidder,Kidder County,ND
40.7058005707; -76.2159548592,42107,Schuylkill,Schuylkill County,PA
46.4472370802; -103.4598757,38087,Slope,Slope County,ND
32.5910175308; -88.1987896089,1119,Sumter,Sumter County,AL
37.5380074268; -77.405844847,51087,Henrico,Henrico County,VA
30.0581505603; -98.0310632636,48209,Hays,Hays County,TX
36.9919552301; -79.8810638666,51067,Franklin,Franklin County,VA
40.495294012; -78.7137032852,42021,Cambria,Cambria County,PA
35.9025835959; -96.3708562265,40037,Creek,Creek County,OK
41.5973844823; -85.8587552785,18039,Elkhart,Elkhart County,IN
36.0408188808; -87.7756333583,47085,Humphreys,Humphreys County,TN
38.9160955531; -100.48290474,20063,Gove,Gove County,KS
39.2507169303; -76.9311943444,24027,Howard,Howard County,MD
31.8500445654; -103.048169055,48495,Winkler,Winkler County,TX
43.6942207429; -101.628137211,46071,Jackson,Jackson County,SD
30.0262964539; -90.7963157853,22093,St. James,St. James Parish,LA
38.8785834577; -77.1009715341,51013,Arlington,Arlington County,VA
34.9648839235; -100.270065923,48087,Collingsworth,Collingsworth County,TX
33.2158995718; -97.6544621205,48497,Wise,Wise County,TX
33.0251331683; -83.5605241695,13169,Jones,Jones County,GA
42.6800090555; -89.6022219559,55045,Green,Green County,WI
31.1986202778; -92.5331996257,22079,Rapides,Rapides Parish,LA
37.8771285847; -91.7923648921,29161,Phelps,Phelps County,MO
46.3570765653; -96.4683496086,27167,Wilkin,Wilkin County,MN
39.6224801785; -90.8863042728,17149,Pike,Pike County,IL
37.8213415755; -107.300311758,8053,Hinsdale,Hinsdale County,CO
34.316508267; -96.6605948986,40069,Johnston,Johnston County,OK
38.688812974; -84.0901906655,21023,Bracken,Bracken County,KY
45.8484671945; -88.398113352,55037,Florence,Florence County,WI
46.2646373267; -96.9482619139,38077,Richland,Richland County,ND
46.6737194276; -115.65690713,16035,Clearwater,Clearwater County,ID
43.1933721852; -100.71843535,46121,Todd,Todd County,SD
43.3108677533; -97.1486602361,46125,Turner,Turner County,SD
43.2417469044; -75.4358401731,36065,Oneida,Oneida County,NY
42.1330537308; -104.965815501,56031,Platte,Platte County,WY
46.2398610144; -119.511127184,53005,Benton,Benton County,WA
29.6774585804; -90.0977653992,22051,Jefferson,Jefferson Parish,LA
37.7649390453; -75.7565570848,51001,Accomack,Accomack County,VA
43.0321563061; -85.549296283,26081,Kent,Kent County,MI
37.9347459676; -121.271403235,6077,San Joaquin,San Joaquin County,CA
39.7172646082; -75.1414130536,34015,Gloucester,Gloucester County,NJ
40.7374323606; -94.6964147623,19173,Taylor,Taylor County,IA
38.6495781117; -88.9189811153,17121,Marion,Marion County,IL
41.6370978319; -90.6232428034,19163,Scott,Scott County,IA
41.5778862866; -96.6539833969,31053,Dodge,Dodge County,NE
29.1678318425; -95.4342547974,48039,Brazoria,Brazoria County,TX
31.6022829517; -83.2763750394,13155,Irwin,Irwin County,GA
38.6327516348; -92.5830546608,29135,Moniteau,Moniteau County,MO
35.7496106399; -81.7047784739,37023,Burke,Burke County,NC
42.3897291621; -96.0447949019,19193,Woodbury,Woodbury County,IA
30.0438391148; -82.3714410129,12125,Union,Union County,FL
34.8817246173; -83.4020764834,13241,Rabun,Rabun County,GA
57.6602871351; -153.749160002,2150,Kodiak Island,Kodiak Island Borough,AK
38.2154382436; -85.1947770123,21211,Shelby,Shelby County,KY
33.665806061; -80.2164049721,45027,Clarendon,Clarendon County,SC
36.3387382969; -94.2561015344,5007,Benton,Benton County,AR
32.2883800156; -85.1849624464,1113,Russell,Russell County,AL
33.9622404194; -96.2597620936,40013,Bryan,Bryan County,OK
17.9791005078; -67.0428558452,72079,Lajas,Lajas Municipio,PR
32.4783131468; -92.1548701323,22073,Ouachita,Ouachita Parish,LA
33.0395904342; -115.365336962,6025,Imperial,Imperial County,CA
34.0686230903; -102.351710486,48279,Lamb,Lamb County,TX
44.4524547726; -116.784781333,16087,Washington,Washington County,ID
44.0229951536; -96.2586448321,27117,Pipestone,Pipestone County,MN
46.8161762124; -116.711723179,16057,Latah,Latah County,ID
47.6459064305; -114.089374334,30047,Lake,Lake County,MT
37.1933028033; -100.851287248,20175,Seward,Seward County,KS
30.8636815475; -83.9193134094,13275,Thomas,Thomas County,GA
18.2247426881; -66.2218192621,72045,Comerío,Comerío Municipio,PR
34.6892815822; -81.6194154302,45087,Union,Union County,SC
45.7791445679; -122.482577988,53011,Clark,Clark County,WA
38.696627674; -98.204730294,20053,Ellsworth,Ellsworth County,KS
31.482942855; -91.3534982605,28001,Adams,Adams County,MS
30.4401362441; -90.7279074417,22063,Livingston,Livingston Parish,LA
39.3297243092; -104.929559461,8035,Douglas,Douglas County,CO
39.0996453445; -122.753183909,6033,Lake,Lake County,CA
31.5536748311; -82.4526850982,13005,Bacon,Bacon County,GA
40.9318279821; -90.2132382621,17095,Knox,Knox County,IL
38.4820845404; -101.34735565,20203,Wichita,Wichita County,KS
42.3243507876; -88.4524199255,17111,McHenry,McHenry County,IL
41.1115978115; -102.333949943,31049,Deuel,Deuel County,NE
33.5894557062; -91.720023319,5043,Drew,Drew County,AR
33.5543385118; -86.8963982424,1073,Jefferson,Jefferson County,AL
34.854520662; -85.5045272078,13083,Dade,Dade County,GA
40.8181139287; -90.925108658,17071,Henderson,Henderson County,IL
31.6225588057; -89.1687933116,28067,Jones,Jones County,MS
44.034587103; -94.0670290696,27013,Blue Earth,Blue Earth County,MN
35.6169396312; -87.0770139545,47119,Maury,Maury County,TN
27.7313380332; -98.0898862446,48249,Jim Wells,Jim Wells County,TX
39.416820119; -95.793663658,20085,Jackson,Jackson County,KS
42.267809005; -77.3838032543,36101,Steuben,Steuben County,NY
41.0229983046; -87.1161212419,18073,Jasper,Jasper County,IN
43.3348466891; -97.7544162352,46067,Hutchinson,Hutchinson County,SD
43.386924164; -98.3660983597,46043,Douglas,Douglas County,SD
38.2164999843; -75.2966708247,24047,Worcester,Worcester County,MD
34.0245101817; -96.7691343971,40095,Marshall,Marshall County,OK
35.7415534129; -91.5697116529,5063,Independence,Independence County,AR
34.7542368128; -91.8887898981,5085,Lonoke,Lonoke County,AR
34.7004337984; -87.8049852867,1033,Colbert,Colbert County,AL
36.3900951244; -78.9718051426,37145,Person,Person County,NC
38.9143249144; -99.8727358362,20195,Trego,Trego County,KS
33.7936596461; -82.4512128043,13181,Lincoln,Lincoln County,GA
40.1757608618; -97.1427156563,31095,Jefferson,Jefferson County,NE
36.9055088424; -94.3392465045,29145,Newton,Newton County,MO
34.1979978627; -118.26101385,6037,Los Angeles,Los Angeles County,CA
31.2060330455; -89.5086725366,28073,Lamar,Lamar County,MS
47.2776387249; -106.992889065,30033,Garfield,Garfield County,MT
33.4485258506; -89.9201976988,28015,Carroll,Carroll County,MS
32.5481331978; -94.3714865548,48203,Harrison,Harrison County,TX
36.3715618824; -95.6043730203,40131,Rogers,Rogers County,OK
31.4284974445; -102.51556846,48103,Crane,Crane County,TX
44.6836233781; -83.1290075152,26001,Alcona,Alcona County,MI
37.2809053404; -92.8758770268,29225,Webster,Webster County,MO
40.761491497; -86.3459465589,18017,Cass,Cass County,IN
37.5947979696; -83.7162777687,21129,Lee,Lee County,KY
41.5210180281; -113.082022662,49003,Box Elder,Box Elder County,UT
32.8024055204; -83.1712490669,13319,Wilkinson,Wilkinson County,GA
38.326661062; -103.784825661,8025,Crowley,Crowley County,CO
41.394264035; -99.7261437929,31041,Custer,Custer County,NE
33.7955389816; -90.8804009104,28011,Bolivar,Bolivar County,MS
30.5795335845; -95.1669012009,48407,San Jacinto,San Jacinto County,TX
40.7746843377; -82.5364843947,39139,Richland,Richland County,OH
32.5993157059; -96.287794573,48257,Kaufman,Kaufman County,TX
33.2154016682; -109.240355413,4011,Greenlee,Greenlee County,AZ
31.6262755156; -84.9801029119,13061,Clay,Clay County,GA
14.1515429648; 145.215166139,69100,Rota,Rota Municipality,MP
42.7934613757; -120.38733759,41037,Lake,Lake County,OR
32.4038815035; -82.567282527,13283,Treutlen,Treutlen County,GA
32.3060301333; -101.951216779,48317,Martin,Martin County,TX
42.1717425857; -90.5742293965,19097,Jackson,Jackson County,IA
32.403442782; -82.0736728222,13043,Candler,Candler County,GA
32.9362268304; -86.2476592648,1037,Coosa,Coosa County,AL
38.0249578597; -87.5857849635,18163,Vanderburgh,Vanderburgh County,IN
40.4400836596; -74.4088356547,34023,Middlesex,Middlesex County,NJ
41.7570882119; -71.0885008559,25005,Bristol,Bristol County,MA
43.3137033973; -73.4307589223,36115,Washington,Washington County,NY
